code,question,ans1,pts1,ans2,pts2,ans3,pts3,ans4,pts4,ans5,pts5
S89M,"La nuit aéronautique, en métropole, débute :",à l'heure officielle du coucher du soleil,-6,30 min après l'heure officielle du coucher de soleil,6,15 min avant l'heure officielle du coucher de soleil,-6,,,,
S8M,"La formation aux qualifications fédérales d'accompagnateur, d'animateur et de pilote biplace est ouverte :","à tout licencié de l'année en cours, majeur et détenteur du brevet de pilote",-6,"à tout licencié de l'année en cours, majeur et détenteur du brevet de pilote confirmé",6,"à tout licencié de l'année en cours, majeur et détenteur du brevet initial",-6,"à tout licencié de l'année en cours, sans brevet mais jugé bon pilote par son président de club",-2,,
S90M,La circulation dans l'espace aérien concerne :,le ministère des transports (autorité de tutelle de l'aviation civile),6,l'autorité préfectorale,0,les propriétaires des terrains de décollage,-6,les maires des communes concernées,-6,,
S91V,La loi impose pour pratiquer le Vol Libre :,d'être assuré pour ses propres dommages corporels,-6,d'être assuré en responsabilité civile terrestre,-6,d'être assuré en responsabilité civile couvrant le risque aérien,6,il n'y a pas d'obligation légale d'être assuré mais simplement une réglementation fédérale,-6,,
S92V,"Sur un site ne faisant l'objet d'aucune restriction préfectorale particulière, un gendarme peut vous demander de présenter votre :",brevet fédéral,-6,attestation d'assurance en Responsabilité Civile,6,licence fédérale,-6,,,,
S93V,Un site peut être légalement utilisé si :,il est déclaré en préfecture (décollage et atterrissage),-6,les propriétaires de terrains ont donné leur autorisation,3,les maires concernés ont été avisés,3,le président du club local a donné son accord,-6,,
S94V,"Avant d'ouvrir un site, vous devez vous assurer que :",le maire de la commune a été avisé,3,les propriétaires des aires de décollage et d'atterrissage ont donné leur accord,3,le district aéronautique a donné son accord,-6,,,,
S95V,La réglementation des sites prévoit :,les autorisations des propriétaires des aires de décollage et d'atterrissage et l'avis des maires des communes concernées,6,la déclaration en préfecture avec plan de vol,-6,la déclaration en mairie avec dépose d'un plan de vol,-6,,,,
S96V,Le niveau du pilote est évalué :,par un moniteur,3,par les copains,-6,à l'aide de la fiche de progression du passeport de vol libre,3,,,,
S97B,"Un moniteur encadre un stage de formation en milieu aménagé (SIV, pilotage, acrobatie) dans le cadre d'une école fédérale :",il a reçu une formation particulière,3,sa formation initiale est suffisante,-6,il doit organiser le stage au-dessus de l'eau,3,,,,
S98V,L'accompagnateur fédéral :,s'occupe essentiellement de conduire la navette,0,"joue un rôle de conseil, soutien, suivi auprès de pilotes pas totalement autonomes",3,donne son avis sur la possibilité de voler ou non pour les personnes qu'il accompagne,3,peut retirer la licence à un pilote n'ayant pas respecté ses consignes,-6,,
S99B,La qualification d'accompagnateur fédéral :,est reconnue par la FFVL et délivrée par le responsable régional formation (RRF),4,est reconnue et délivrée par l'ensemble des pilotes du club,-3,est auto-délivrée par le pilote concerné,-6,est délivrée suite à plusieurs journées de formation spécifique,2,,
S9M,La formation fédérale au monitorat de parapente :,peut commencer dès l'obtention du brevet de pilote confirmé,-6,"commence après l'obtention de l'accompagnateur, de la qualification biplace et de l'animateur de club",2,est réservée au futurs moniteurs brevetés d'Etat ou brevets professionnels,-6,"comprend un stage de formation, un stage en situation et un examen final",4,,
U10M,L'établissement du plan de vol prend en compte :,la situation des terrains de décollage et d'atterrissage,2,les performances de l'aile,2,le vent en altitude,1,le vent de vallée,1,,
U11B,"Pour décoller en sécurité, il est préférable de choisir une pente :",concave suivie d'une cassure nette,-6,convexe et progressive,3,dégagée d'obstacles,3,,,,
U12B,La pente d'une aire de décollage doit être :,inférieure ou égale à la finesse max. de l'aile,-6,supérieure à la pente de finesse max de l'aile,6,n'a pas à être comparée à la pente de finesse max. de l'aile,-6,,,,
U13B,Vous vous apprêtez à décoller à 15 h sur un versant ensoleillé où s'est établi une légère brise montante. Le vent météo est nul :,le vent sera nul ou très faible en vallée,-6,"vous devez envisager l'éventualité d'un vent de vallée fort, surtout si la vallée est étroite",3,"dans tous les cas, il est prudent de prévoir des possibilités tenant compte d'un éventuel vent de vallée fort",3,,,,
U14M,"Votre décollage est orienté ouest, il fait beau. Pour trouver les meilleures conditions au départ, vous avez intérêt à décoller :",dans la matinée,-6,le moment de la journée est sans importance,-6,au début de l'après-midi,6,,,,
U15M,"Votre décollage est orienté est. Il fait beau. Pour trouver les meilleures conditions au départ, vous avez intérêt à décoller :",dans la matinée,6,le moment de la journée est sans importance,-6,en cours d'après-midi,-6,,,,
U16M,"Vous êtes en montagne, il n'y a pas de vent, l'atterrissage se situe à finesse maximum de votre aile :",vous ne volez pas,6,vous volez,-6,en milieu de journée vous volez car vous allez sûrement pouvoir profiter d'ascendances,-6,l'effet de sol va vous aider à l'atterrissage,-6,,
U17B,Une couche de stratus de 40 m d'épaisseur est située sous le décollage :,40 m c'est peu ; vous décollez,-6,vous attendez en espérant que la nuée se dégage sinon vous ne décollez pas,6,"s'il y a un vent suffisant pour faire du vol de pente, vous décollez et vous restez au-dessus de la couche",-6,,,,
U18B,"Par rapport au vent mesuré au décollage à 2 m/sol, le vent 20m au-dessus risque d'être :",de même force,-6,plus fort,6,moins fort,-6,,,,
U19M,Le vent est de 15 km/h plein travers au décollage :,vous attendez de meilleures conditions,3,une bonne course et ça passe sûrement,-6,un vent plein travers mais pas trop fort n'est pas gênant,-6,vous cherchez un décollage mieux orienté,3,,
U1V,La sauvegarde des sites concerne :,la Fédération,1,les ligues et les clubs,1,le ministère de l'intérieur,-6,chaque pilote,4,,
U20M,"Pendant la course de décollage, si la pente du sol augmente et que l'assiette ne change pas, l'incidence :",ne change pas,-6,diminue,-6,augmente,6,,,,
U21M,"Pendant la course de décollage, votre incidence c'est l'angle entre le plan de l'aile et :",le sol,6,la verticale,-6,l'horizontale,-6,,,,
U22M,Au décollage le vent est arrière. Les risques de ne pas pouvoir décoller sont dus :,à l'absence d'effet de sol,-6,aux effets du gradient de vent,0,à la vitesse importante que vous devez atteindre en courant,3,aux descendances marquées et proportionnelles à la déclivité de la pente,3,,
U23M,"Au décollage il y a 20 km/h de vent de face, votre aile vole à 30 km/h sur sa trajectoire ; pour décoller vous devez courir à :",10 km/h,6,20 km/h,-6,30 km/h,-6,40 km/h,-6,,
U24V,"Après une course de décollage à l'arraché, vous réussissez à décoller de justesse :","vous volez certainement avec beaucoup trop de vitesse, vous pouvez donc ralentir pour vous mettre au taux de chute mini",-6,"pas immédiatement assez lucide pour me sentir être trop lent ou trop rapide, dans le doute je prends de la vitesse",3,"pas immédiatement assez lucide pour me sentir être trop lent ou trop rapide, dans le doute je m'écarte du relief",3,,,,
U25M,Un de vos amis vient juste de décoller ; vous lui emboîtez le pas pour voler ensemble :,c'est dangereux car vous allez vous trouver dans la turbulence de son aile,6,c'est le seul moyen de faire de bonnes photos,-6,c'est délicat mais c'est faisable,-6,,,,
U26B,"En haute montagne, la densité de l'air diminuant avec l'altitude et pour que votre aile puisse décoller, vous devez vous attendre à courir :",plus vite,3,moins vite,-6,plus longtemps,3,moins longtemps,-6,,
U27V,La turbulence du sillage d'une autre aile est dangereuse :,plusieurs minutes après son passage,-6,sur quelques dizaines de mètres en arrière et légèrement au-dessus,4,car elle rend le pilotage de l'aile momentanément délicat,2,,,,
U28V,Les turbulences d'une aile sont dangereuses pour un autre aéronef :,devant,-6,derrière,0,dessous,-6,dans la trajectoire/air,6,,
U29B,Le cône d'autonomie :,correspond à l'ensemble des points les plus éloignés que l'aile peut atteindre en vol plané,3,a un axe plus ou moins penché par le vent,3,est une caractéristique de l'aile qui ne dépend pas du vent,-6,,,,
U2V,Appliquer la règle des additions c'est :,"éviter le cumul de facteurs stressants qui, pris séparément, ne conduiraient pas à l'accident mais qui, additionnés, rendent le risque inacceptable",2,mesurer les risques et ne pas les additionner,2,identifier les éléments nouveaux d'une situation et n'en accepter qu'un à la fois,2,,,,
U30B,"Voler en local d'un atterrissage, c'est :",pouvoir le rejoindre à tout moment quelles que soient les conditions aérologiques rencontrées,3,avoir assimilé les performances en plané de son aile et les notions de finesse/air et finesse/sol,3,c'est pouvoir garantir d'y revenir après m'en être éloigné à une distance de 20 de finesse,-6,,,,
U31B,"Au cas où le vent météo change d'orientation ou d'intensité pendant le vol, il convient :",de changer à temps son plan de vol pour se donner les meilleurs chances de rentrer malgré tout au terrain,3,de mettre le cap immédiatement sur le terrain pour rentrer coûte que coûte,-6,de ralentir au maximum afin de retarder le moment d'un atterrissage qui s'annonce délicat,-6,de repérer immédiatement des terrains de secours afin de se préparer à l'éventualité d'un atterrissage « aux vaches »,3,,
U32B,"Une aile vole face au vent, elle avance par rapport au sol ; le vent est :",plus fort que la vitesse/air de l'aile,-6,moins fort que la vitesse/air de l'aile,6,on ne peut pas savoir,-6,,,,
U33B,"Vous volez vent arrière, votre vitesse/air de croisière est égale à la vitesse du vent météo ; le sol :",défile 2 fois plus vite que par vent nul,6,défile 2 fois moins vite que par vent nul,-6,paraît fixe,-6,,,,
U34B,La vitesse de votre appareil par rapport au sol est :,plus élevée par vent de face,-6,plus élevée par vent arrière,6,ne change jamais,-6,,,,
U35B,"Lorsque vous volez vent arrière près du sol, l'impression visuelle tend à modifier votre perception de la vitesse/air, ce qui peut vous conduire à :",voler trop lentement en freinant votre aile,3,voler trop rapidement en accélérant votre aile,-6,vous rapprocher dangereusement de la vitesses minimum et des risques associés,3,,,,
U36M,"Si vous volez face à un vent météo, pour garder une finesse/sol maximale et par rapport à la vitesse de finesse/air maximale, vous devez :",voler plus vite,6,voler moins vite,-6,voler au taux de chute mini,-6,,,,
U37M,"Pour conserver une finesse/sol maximale, vous devez voler plus vite qu'à la vitesse de finesse/air maximale :",dans une ascendance,-6,dans une descendance,3,vent de face,3,vent de dos,-6,,
U38B,Vous croisez une autre aile ; votre vitesse de croisement est égale à :,votre vitesse/air,-6,la somme de vos 2 vitesse/air,6,la moitié de votre vitesse/air,-6,,,,
U39V,"Vous allez croiser une autre aile, vous vous devez d'analyser et de prévoir d'agir :",vous évaluez si vos trajectoires vont devenir convergentes,2,c'est un biplace vous calculez de passer juste derrière lui à une altitude équivalente,-6,"elle a le relief à droite, je prévois de m'écarter vers la vallée pour la laisser passer",2,elle semble arrêtée. J'arrive vent arrière à grande vitesse. J'anticipe et calcule ma trajectoire longtemps en avance,2,,
U3M,L'hypoxie :,est due à un déficit d'oxygène dans le sang,2,est due au refroidissement de l'atmosphère,-6,se manifeste parfois par des maux de tête et des nausées,2,provoque une altération du jugement et une diminution de la coordination musculaire,2,,
U40M,Votre trajectoire/sol est perpendiculaire au sens du vent :,la corde centrale de l'aile est perpendiculaire au sens du vent,-6,vous faites de la « marche en crabe »,3,vous dérivez,3,,,,
U41B,En vol vent de travers :,le nez de l'aile se met face au vent : c'est l'effet girouette,-6,vous devez adopter un angle de contre-dérive si vous vous dirigez vers un point qui n'est pas dans l'axe du vent,4,l'axe de l'aile fait un angle avec la trajectoire/sol,2,l'axe de l'aile reste parallèle à la trajectoire/sol,-6,,
U42M,Cochez les 2 droites qui définissent l'angle de dérive :,la corde centrale,3,le vent météo,-6,l'envergure,-6,la trajectoire/sol,3,,
U43B,Vous risquez de rencontrer de fortes turbulences dangereuses :,"près du relief, lorsque l'activité thermique est maximale",2,sous le vent d'un relief par vent fort,2,dans les zones de cisaillement,2,dans une ascendance dynamique,-6,,
U44B,"En conditions turbulentes, il vaut mieux :",ne jamais faire d'évolutions serrées,3,voler au taux de chute mini,-6,s'éloigner des limites du domaine de vol,3,,,,
U45B,"En régime turbulent, il vaut mieux :",ne jamais faire d'évolutions serrées,2,ne pas taquiner les vitesses trop basses,2,ne pas taquiner les vitesses trop élevées,2,,,,
U46B,En turbulences :,les efforts sur la structure augmentent avec la vitesse de vol,6,vous devez voler le plus lentement possible pour ne pas fatiguer la structure,-6,vous prenez le plus de vitesse possible pour rapidement sortir de la zone,-6,,,,
U47M,Vous parcourez une branche de circuit où le vent est plein travers par rapport à votre route. Vous choisissez de préférence les cumulus :,au vent de la route à suivre,6,sous le vent de la route à suivre,-6,sur la route à suivre,-6,,,,
U48V,"Avant d'effectuer un virage, vous devez :",évaluer la perte d'altitude due au virage et votre nouvelle trajectoire,3,vérifier que la voie est libre du côté où vous irez,3,ralentir,-6,,,,
U49V,En vol de pente :,vous virez dos à la pente,3,vous virez face à la pente,-6,vous faites attention au gradient de vent près du relief,1,vous conservez une marge de vitesse pour être prêt à vous éloigner de la pente en cas d'urgence,2,,
U4M,L'hypoxie :,les premiers symptômes peuvent apparaître vers 2000 m/mer,2,ne concerne pas les pilotes de Vol Libre,-6,risque d'altérer le jugement,2,a des effets variables sur chaque pilote,2,,
U50M,"En vol de pente, pour exploiter au mieux l'ascendance, vous volez plutôt à l'incidence :",de taux de chute mini,6,de finesse max,-6,de vitesse max,-6,de vitesse mini,-6,,
U51B,"En vol de pente, vous engagez les virages :",du côté de l'aile qui se soulève,-6,du côté du relief,-6,du côté opposé au relief,6,,,,
U52V,"En vol de pente, le virage face à la pente est :",à recommander,-6,à éviter,2,est difficile à contrôler et dangereux du fait du défilement rapide du sol en vent arrière,2,est celui qui impose la plus forte inclinaison pour le même rayon de virage par rapport au sol,2,,
U53B,Le vol de pente nécessite :,une maîtrise parfaite de sa trajectoire,2,une observation constante de l'évolution du vent,2,d'être habitué aux effets de dérive imposés par le vent,2,,,,
U54B,Au cours d'un vol de pente en conditions relativement turbulentes :,vous évitez de descendre en dessous des crêtes,2,"vous prenez de la marge/relief, volez plus lentement et augmentez votre niveau présence au pilotage",4,vous volez le plus vite possible,-6,,,,
U55B,Pour centrer un thermique :,vous resserrez votre virage quand l'ascendance diminue,3,vous élargissez votre virage quand l'ascendance augmente,3,vous pouvez voler très lentement sans risque d'autorotation car l'air ascendant empêchera une abattée éventuelle,-6, vous élargissez votre virage quand l'ascendance diminue,-3,,
U56B,Vous rentrez dans un thermique et engagez un 360°. Après 90° de virage le variomètre devient négatif :,vous diminuez l'inclinaison,-6,vous inversez le sens du virage,3,vous continuez le virage jusqu'à 270° puis reprenez une ligne droite pour retrouver l'ascendance,3,,,,
U57B,"Dans un thermique au cours des 360°, le variomètre passe par un maximum puis retombe à des valeurs faiblement positives :",vous inversez le sens des 360°,-6,"pour vous recentrer, vous élargissez le virage juste avant le maximum du variomètre et resserrez peu après",6,vous quittez l'ascendance pour la reprendre d'un autre côté,-6,,,,
U58B,Lorsqu'un pilote exploite une bulle thermique pour gagner de l'altitude :,il s'élève à la même vitesse que la bulle,-6,il aborde la bulle vers sa partie inférieure et ressort au sommet,-6,il descend continuellement à l'intérieur de la bulle,6,,,,
U59B,"Vous êtes 200 m sous un gros cumulus, vers son centre, vous observez quelques nuages déchiquetés et un variomètre fortement positif :",vous en profitez pour gagner de l'altitude,-6,vous augmentez la vitesse jusqu'à amener le variomètre à 0,-6,vous dégagez du côté le plus clair pour échapper à l'influence du nuage,4,"vous pouvez utiliser l'ascendance sur les bords du nuage, en gardant toujours une direction totalement dégagée à toute altitude",2,,
U5M,Facteurs aggravant le risque d'hypoxie :,fatigue corporelle,2,alcool et tabac,2,pilote trop légèrement couvert,2,,,,
U60M,"Au cours d'une spirale, votre appareil a dérivé de 3 km en 10 mn. La force du vent est :",impossible à connaître,-6,de 10 km/h maximum,-6,de 18 km/h environ,6,,,,
U61B,"Vous envisagez d'utiliser une ascendance où se trouve déjà un autre appareil, vous :",faites comme si vous étiez seul,-6,engagez la spirale juste devant lui pour qu'il vous voit bien,-6,essayez en jouant sur la vitesse de vous placer de façon diamétralement opposée dans le même sens de rotation,6,,,,
U62B,Vous approchez de la base d'un cumulus :,il n'y a jamais de risque d'aspiration,-6,vous risquez d'être aspiré car l'ascendance peut se renforcer,3,le risque est faible tant que le nuage n'est pas de type congestus ou nimbus,-6,le danger est aggravé si la base est en dessous des plus hautes crêtes,3,,
U63B,"En région montagneuse, vous recherchez de préférence les ascendances thermiques :",dans les fonds de vallée,-6,sur les rochers ensoleillés,6,sur les versants à l'abri du soleil et du vent,-6,,,,
U64B,Par une belle journée d'ascendances où des orages sont annoncés :,je vole en ayant conscience de la fulgurance des phénomènes orageux,2,je réagis rapidement et vais me poser si les ascendances commencent à s'élargir,2,j'observe l'assombrissement du ciel et attends des signes de renforcement du vent pour décider d'aller me poser,-6,je vais me poser sans attendre si le ciel se couvre rapidement,2,,
U65V,Un gros cumulus isolé est toujours inoffensif :,faux ; il peut entretenir une ascendance supérieure à vos possibilités de fuite et devenir un cumulonimbus,4,faux ; il peut cacher d'autres aéronefs,2,VRAI,-6,,,,
U66B,Le passage d'un cumulonimbus dans votre secteur de vol :,vous invite à profiter des ascendances larges avant la pluie,-6,vous impose un atterrissage immédiat,3,peut rendre de toute façon l'atterrissage problématique,3,,,,
U67B,Faire une descente rapide en 360° enchaînés et serrés :,est toujours sans danger,-6,vous expose à des facteurs de charges importants,2,vous fait perdre toute référence extérieure,2,peut entraîner une perte de connaissance,2,,
U68M,"Après un vol de durée, il convient d'assouplir et de préparer bras et jambes à la course d'atterrissage :",avant l'approche,6,pendant l'approche,-6,en finale,-6,en effectuant quelques foulées aériennes lors de l'arrondi,-6,,
U69B,Vous affrontez un vent de face de 15 km/h ; pour rentrer au terrain :,vous cherchez à vous maintenir au taux de chute minimum pour avoir plus de temps pour effectuer le trajet,-6,vous volez aussi rapidement que possible pour avoir une vitesse de pénétration maximale,-6,"en prenant des points de repère au sol et en jouant sur votre vitesse, vous essayez de trouver le meilleur angle de plané",6,,,,
U6M,"En prévision d'un gain d'altitude important ou d'un vol de durée, il est recommandé de s'équiper avec :",une tenue de sport légère,-6,une boîte de médicaments anti-nauséeux,-6,"des chaussures tenant bien aux pieds, des vêtements chauds, des gants, éventuellement des lunettes de soleil",6,,,,
U70B,"Pour un pilote peu expérimenté, un terrain d'atterrissage se découvre :","en vol, en venant à la verticale pour l'observer",-6,"avant le vol, c'est un minimum",6,au moment d'atterrir,-6,,,,
U72B,Vous êtes en approche ; une aile est juste en dessous de vous :,vous l'observez attentivement car vous lui devez la priorité,6,il vous doit la priorité,-6,vous faites des 360° pour vous poser avant lui,-6,"en approche, il n'y a plus de priorité",-6,,
U73B,Une bonne approche :,se prépare suffisamment tôt,2,tient compte du vent météo et de ses variations possibles,2,doit être modifiable en cas de nécessité,2,,,,
U74V,Une bonne approche implique une finale :,face au vent en bout de terrain,-6,face au vent en entrée de terrain,6,tout dépend des conditions,-6,,,,
U75B,Le 360° en prise de terrain :,permet d'être précis à l'atterrissage,-6,est tout à fait déconseillé,2,vous fait perdre de vue les repères au sol,2,vous expose à des risques importants de collision avec les autres ailes en approche,2,,
U76M,Une bonne approche de terrain avant l'atterrissage comprend :,"une reconnaissance à une bonne hauteur (vent au sol, encombrement, circuit déjà en place,...)",2,"une prise de terrain en U, S, ou 8 adaptée au terrain et à la situation du moment",2,un dernier virage pas trop près du sol et une finale stabilisée,2,,,,
U77B,"Vous êtes en prise de terrain en S (PTS) ; votre trajectoire s'enfonce sous le plan de descente prévu, vous devez :",raccourcir vos S,3,s'il le faut vous mettre en ligne droite face au terrain,3,accélérer pour ne pas perdre de temps,-6,,,,
U78B,"Pour être précis à l'atterrissage, la visualisation correcte de la pente en finale est indispensable. Cette pente :",varie en fonction de l'incidence,3,varie en fonction de la direction et de la vitesse du vent,3,ne dépend que des caractéristiques aérodynamiques de l'aile,-6,,,,
U79B,"Vous êtes en finale, face au terrain d'atterrissage ; vous vous apercevez que vous êtes un peu long et haut, vous risquez de dépasser le terrain ; vous choisissez :",de perdre de l'altitude en parachutant légèrement,-6,de perdre de l'altitude en accélérant,0,d'augmenter le trajet à parcourir en déviant votre trajectoire,3,d'augmenter la traînée en vous relevant,3,,
U7B,"Par vent fort, le vol captif sur point fixe (corde attachée au sol) :",n'est jamais dangereux,-6,peut être utilisé en école,-6,est fortement déconseillé,3,peut entraîner un verrouillage irrémédiable,3,,
U80B,"En finale, si la cible descend dans le champ de vision :",vous êtes court,-6,vous êtes long,6,vous devez ralentir au maximum,-6,,,,
U81V,Une prise de vitesse avant l'atterrissage :,est inutile,-6,est généralement préférable pour conserver une réserve de vitesse/air en cas de gradient,6,est dangereuse car appareil va faire une ressource au freinage,-6,est nécessaire pour améliorer la maniabilité près du sol,0,,
U82V,Le vol à vitesse lente en finale :,est nécessaire pour préparer l'arrondi,-6,est nécessaire pour ne pas se faire embarquer,-6,est dangereux car il rend l'aile vulnérable à tous les pièges aérologiques,6,,,,
U83B,Le gradient de vent de face à l'atterrissage :,augmente l'incidence,3,diminue l'incidence,-6,augmente la vitesse/air,-6,diminue la vitesse/air,3,,
U84B,Le gradient de vent de face à l'atterrissage :,n'a pas d'effet sur la vitesse/air,-6,est parfois dangereux car il peut conduire au décrochage en cas de pilotage inadapté,2,augmente le taux de chute,2,nécessite par sécurité une prise de vitesse préalable,2,,
U85B,Le freinage final par vent fort :,demande un dosage ajusté pour que le pilote garde son équilibre au moment du contact/sol,3,demande de freiner amplement pour obtenir rapidement le décrochage de l'aile,-6,s'enchaine en résistant autant que possible pour affaler l'aile aux freins,-6,peut s'enchainer avec un relevage des commandes et en reculant vers l'aile,3,,
U86V,Les causes principales de collision sont :,l'alcool et autres substances,-6,ne pas regarder dans l'axe de sa trajectoire présente et future (ne pas regarder avant de tourner),3,la densité d'ailes et le non respect de marges de sécurité suffisantes,3,le téléphone portable,-6,,
U87M,"Je vais faire un vol inhabituel : conditions plus fortes, changement de matériel, etc. :","j'essaie de sentir mon degré de tension et s'il est trop élevé, je prends particulièrement mon temps pour retrouver un niveau plus normal ou je renonce à ce vol",2,"je suis un peu fatigué en ce moment (travail, famille, etc.) mais c'est pas gênant",-6,j'ai bien évalué les différents paramètres pour qu'il n'y ait qu'une seule difficulté supplémentaire,2,"la nervosité due à la tension est très favorable aux oublis, je suis très vigilant",2,,
U88B,C'est mon premier vol de la saison :,j'utilise des conditions faciles pour moi,3,"j'aurai moins de résistance à la fatigue, je n'hésite pas à écourter mon vol pour garder un peu de fraîcheur pour l'atterrissage",3,"il n'y a pas de différence, c'est comme le vélo ça ne s'oublie pas",-6,,,,
U89B,Je me ferai probablement plus plaisir avec une aile :,"aux performances maximales, mais difficile à piloter pour mon niveau",-6,que je maîtrise bien aux performances honnêtes,6,"qui gagne en compétition, quel que soit mon niveau",-6,,,,
U8M,"Lorsque l'inversion nocturne est très nette, les vols du matin seront :",probablement calmes,6,perturbés très tôt par l'activité thermique,-6,favorables pour les amateurs de performances,-6,,,,
U90V,"Je vole dans l'ascendance en longeant le relief sur ma droite, une aile arrive en face :",je n'ai pas la priorité,-6,"j'ai la priorité, mais l'autre pilote semble vouloir continuer tout droit, dans le doute je fais demi-tour",6,"j'ai la priorité, mais l'autre pilote semble vouloir continuer tout droit, j'impose ma priorité",-6,"comme je suis assez débutant, je m'écarte légèrement pour le laisser passer entre moi et le relief",-6,,
U91B,J'accrois les risques :,raisonnablement en introduisant une seule nouveauté à la fois,2,"énormément avec la fatigue et/ou les problèmes (cœur, santé, travail, etc.)",4,"pas du tout, je suis en bonne forme physique et psychique",0,en pensant que les erreurs n'arrivent pas qu'aux autres et en veillant à mes comportements,-6,,
U92B,Je m'approche de la base du nuage :,"j'en profite au maximum, c'est un nuage isolé, ça n'est pas grave si je passe un peu dedans",-6,je suis sur un bord du nuage pour pouvoir m'échapper à tout moment,3,"je suis très méfiant, il pourrait arriver une masse d'air plus humide qui condense plus bas et me bouche la sortie, j'ai toujours une échappatoire latérale",3,"pas de soucis, j'ai une boussole ou un GPS",-6,,
U93M,Lors d'un vol de distance :,"je me méfie de l'euphorie, liée au plaisir d'un beau vol, qui diminue les capacités de raisonnement et peut pousser à s'engager dans des options dangereuses",2,"je peux m'engager le long d'une crête, même si pendant quelques temps je n'ai plus de terrain posable, si je suis sur d'avoir une ascendance tout le long",-6,je me garde toujours la possibilité de rejoindre un terrain de fortune avec une marge raisonnable,2,"en conditions ventées, je me méfie des culs de sac d'où il faudra ressortir face au vent si le passage n'est pas possible. D'une manière générale j'anticipe mes trajectoires et leurs solutions de replis",2,,
U9M,Il est 11h. La convection thermique a déjà bien démarré (3/8 de cumulus). Un voile de cirrostratus annonçant l'arrivée d'un front chaud approche par l'ouest. L'évolution de la convection dans la journée sera :,évolution des cumulus en cumulonimbus,-6,arrêt immédiat des ascendances,-6,étouffement progressif des ascendances,6,,,,
W10B,Le gonflage face à la voile :,permet de décoller avec un vent supérieur à 30 km/h,-6,permet de décoller avec des vents modérés à faibles,2,permet de contrôler sa voile facilement pendant qu'elle monte,2,permet de voir facilement les clefs dans les suspentes,2,,
W11B,"Au décollage, le vent est de travers 30°, 3 m/s :","vous gonflez face au vent, temporisez, puis prenez de la vitesse en orientant progressivement votre course et votre aile dans l'axe de la plus grande pente",6,"vous gonflez face à la ligne de pente la plus raide, temporisez, puis prenez de la vitesse en orientant progressivement votre course et votre aile face au vent",-6,"vous gonflez dans l'axe de la plus grande pente, temporisez, puis accélérez en vous attendant à devoir freiner amplement juste avant de décoller",-6,,,,
W12B,30 km/h de vent de face au décollage ; vous êtes seul :,c'est trop ; vous vous abstenez,6,"un pilote expérimenté peut, sur un site adapté, décoller en gonflant dos au vent",-6,vous essayez de gonfler car ça partira tout seul sans avoir besoin de courir,-6,,,,
W13V,L'installation du parapente au sol dépend :,de la force et de la direction du vent,2,de la pente,2,du parapente lui-même,2,,,,
W14V,"Dos à la voile, le décollage en parapente se décompose en :","gonflage de la voile (écopage, dosage de la poussée des jambes et regard vers l'avant)",2,temporisation (contrôle du tangage et regard sur l'aile),2,charge progressive de la ventrale coordonnée à une accélération de la course entretenue jusqu'au décollage (regards vers l'avant),2,"en lâchant les commandes s'aider des mains pour une installation rapide et efficace dans la sellette, reprise des commandes",-6,,
W15V,"Lors d'un gonflage dos à la voile, la temporisation :",est nécessaire pour contrôler l'état de l'aile,2,peut nécessiter parfois d'un freinage franc et momentané,2,est un temps propre à coordonner la vitesse de l'aile et du pilote,2,est d'autant plus facile à réaliser que le vent est très fort ou très faible,-6,,
W16V,La phase d'accélération après la temporisation nécessite :,de se pencher en avant pour trouver un appui équilibré sur la ventrale et avoir une prise de vitesse efficace,3,de porter son regard en avant vers la sortie du décollage,3,de se pencher en arrière pour mieux contrôler l'aile,-6,,,,
W17B,"Lors d'un gonflage par vent fort, la voile commence à vous tirer très fort vers l'arrière, vous risquez d'être traîné au sol :",vous lâchez les commandes et vous vous agrippez où vous pouvez pour résister,-6,vous résistez et simultanément tirez les deux freins à fond pour vous arrêter,-6,vous courez vers l'aile avant d'être déséquilibré et aidez à affaler en tirant sur les freins,3,vous courez vers l'aile avant d'être déséquilibré et décrochez l'aile à l'aide des élévateurs arrière si vous y arrivez,3,,
W18V,"Lors d'un gonflage sans vent face à la pente, après le troisième pas accéléré, vous ne sentez aucun affermissement de vos A :",vous accélérez à fond dans la pente,-6,vous ralentissez en espérant que cela aide l'aile à écoper et mesurez l'espace disponible avant d'abandonner,3,vous vous arrêtez avant de vous trouver trop bas dans la pente et pour recommencer au plus vite,3,vous tirez sur les avants,-6,,
W19V,"Après le gonflage, votre voile présente un déséquilibre et dévie vers la droite :",vous ralentissez votre course et agissez vigoureusement sur le frein droit,-6,vous freinez vigoureusement à droite puis à gauche en allant de l'avant et en résistant au déséquilibre,-6,vous suivez votre aile et la ramenez efficacement au frein sur la bonne trajectoire,3,"après avoir retrouvé le bon cap, vous vérifiez visuellement qu'aucune clé ou cravate n'est présente et engagez la course de votre envol",3,,
W1V,Le parapente :,est facile d'accès en aérologie calme et beaucoup plus exigeant en aérologie turbulente,3,répond aux mêmes lois de l'air et aux mêmes exigences que les autres sports aériens,3,pardonne la plupart des erreurs de pilotage car il se pratique sous un parachute,-6,nécessite un apprentissage sérieux quand on l'utilise comme un planeur (cross) et un apprentissage beaucoup plus léger en paralpinisme,-6,,
